model,seed,held_out,accuracy,macro_f1,f1_khlui,f1_khong,f1_so,f1_ranat,n_train,n_test
7_svm_trigram,123,สาธุการ,0.8055555555555556,0.7767019677697682,0.5,0.8852459016393442,0.9473684210526315,0.7741935483870968,603,216
7_svm_trigram,123,แขกมอญบางช้าง,0.7327586206896551,0.7227555387201471,0.6440677966101694,0.8387096774193549,0.8125,0.5957446808510638,703,116
7_svm_trigram,123,โหมโรงมหาฤกษ์,0.5294117647058824,0.5215247715247715,0.5925925925925926,0.45714285714285713,0.6363636363636364,0.4,751,68
7_svm_trigram,2024,กล่อมนารี,0.6857142857142857,0.6840139317161377,0.6486486486486487,0.65625,0.7058823529411765,0.7252747252747253,679,140
7_svm_trigram,2024,จีนขิมเล็ก,0.6990291262135923,0.6962241950071565,0.6190476190476191,0.6181818181818182,0.8235294117647058,0.7241379310344828,716,103
7_svm_trigram,2024,ตับต้นเพลงฉิ่ง,0.6420454545454546,0.6206438910603395,0.4,0.9782608695652174,0.5982905982905983,0.5060240963855421,643,176
7_svm_trigram,2024,สาธุการ,0.8055555555555556,0.7767019677697682,0.5,0.8852459016393442,0.9473684210526315,0.7741935483870968,603,216
7_svm_trigram,2024,แขกมอญบางช้าง,0.7327586206896551,0.7227555387201471,0.6440677966101694,0.8387096774193549,0.8125,0.5957446808510638,703,116
7_svm_trigram,2024,โหมโรงมหาฤกษ์,0.5294117647058824,0.5215247715247715,0.5925925925925926,0.45714285714285713,0.6363636363636364,0.4,751,68
8_xgb_combined,42,กล่อมนารี,0.6214285714285714,0.6195536062462785,0.6190476190476191,0.6557377049180327,0.5769230769230769,0.6265060240963856,679,140
8_xgb_combined,42,จีนขิมเล็ก,0.6601941747572816,0.6731316928685349,0.49122807017543857,0.7727272727272727,0.8571428571428571,0.5714285714285714,716,103
8_xgb_combined,42,ตับต้นเพลงฉิ่ง,0.6534090909090909,0.6015316818238925,0.14814814814814814,0.8809523809523809,0.7433628318584071,0.6336633663366337,643,176
8_xgb_combined,42,สาธุการ,0.7731481481481481,0.7094858145537052,0.2,0.907563025210084,0.9906542056074766,0.7397260273972602,603,216
8_xgb_combined,42,แขกมอญบางช้าง,0.7241379310344828,0.7095025647657226,0.5964912280701754,0.9122807017543859,0.7837837837837838,0.5454545454545454,703,116
8_xgb_combined,42,โหมโรงมหาฤกษ์,0.45588235294117646,0.4643469073912623,0.43243243243243246,0.2777777777777778,0.7096774193548387,0.4375,751,68
8_xgb_combined,123,กล่อมนารี,0.6214285714285714,0.6195536062462785,0.6190476190476191,0.6557377049180327,0.5769230769230769,0.6265060240963856,679,140
8_xgb_combined,123,จีนขิมเล็ก,0.6601941747572816,0.6731316928685349,0.49122807017543857,0.7727272727272727,0.8571428571428571,0.5714285714285714,716,103
8_xgb_combined,123,ตับต้นเพลงฉิ่ง,0.6534090909090909,0.6015316818238925,0.14814814814814814,0.8809523809523809,0.7433628318584071,0.6336633663366337,643,176
8_xgb_combined,123,สาธุการ,0.7731481481481481,0.7094858145537052,0.2,0.907563025210084,0.9906542056074766,0.7397260273972602,603,216
8_xgb_combined,123,แขกมอญบางช้าง,0.7241379310344828,0.7095025647657226,0.5964912280701754,0.9122807017543859,0.7837837837837838,0.5454545454545454,703,116
8_xgb_combined,123,โหมโรงมหาฤกษ์,0.45588235294117646,0.4643469073912623,0.43243243243243246,0.2777777777777778,0.7096774193548387,0.4375,751,68
8_xgb_combined,2024,กล่อมนารี,0.6214285714285714,0.6195536062462785,0.6190476190476191,0.6557377049180327,0.5769230769230769,0.6265060240963856,679,140
8_xgb_combined,2024,จีนขิมเล็ก,0.6601941747572816,0.6731316928685349,0.49122807017543857,0.7727272727272727,0.8571428571428571,0.5714285714285714,716,103
8_xgb_combined,2024,ตับต้นเพลงฉิ่ง,0.6534090909090909,0.6015316818238925,0.14814814814814814,0.8809523809523809,0.7433628318584071,0.6336633663366337,643,176
8_xgb_combined,2024,สาธุการ,0.7731481481481481,0.7094858145537052,0.2,0.907563025210084,0.9906542056074766,0.7397260273972602,603,216
8_xgb_combined,2024,แขกมอญบางช้าง,0.7241379310344828,0.7095025647657226,0.5964912280701754,0.9122807017543859,0.7837837837837838,0.5454545454545454,703,116
8_xgb_combined,2024,โหมโรงมหาฤกษ์,0.45588235294117646,0.4643469073912623,0.43243243243243246,0.2777777777777778,0.7096774193548387,0.4375,751,68
